Item Planning Level,Actuals
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Global Football,891.00000651
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Basketball Kids,883.00000863
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Nike_Other,881.0000045899999
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_American Football Kids,645.00000301
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Golf Mens & Womens,634.0000041499999
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Nike_Other,589.0000043000001
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_All Other Sports Kids,550.00000125
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Basketball_Nike_Other,524.00002
NOT_SUPPLD_Other_NOT_SUPPLD_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,489.0000040299998
Jordan_Other_WOMENS_FOOTWEAR DIVISION_Jordan Streetwear_Jordan_Other,448.00000248999993
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Nike_Other,409.00000101000006
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Global Football,393.00000243
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_American Football Mens & Womens,343.0000000300001
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Tennis Kids,338.00000192999994
Jordan_Other_WOMENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Training,324.00000096
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Tennis,320.00000177
Nike_Other_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Nike_Other,305.00000203
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Sport_Golf Mens & Womens,262.0000009499999
Jordan_Other_KIDS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,259.00000124
Nike_KOBE_KIDS_FOOTWEAR DIVISION_Kids Basketball_Basketball Kids,206.00000049
Jordan_SKIMS_WOMENS_APPAREL DIVISION_Jordan Sport_Jordan Training,166.00000144999998
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Sport_Global Football Mens & Womens,161.00000045
