Forecast Iteration.[Forecast Iteration],Version.[Version Name],Time.[Partial Week],Stat Bucket Weight,Stat Bucket Weight AUR,Stat Bucket Weight AUR Fcst
FI-Default,CurrentWorkingView,12-May-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,19-May-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,26-May-19,0.1935483870967742,0,0
FI-Default,CurrentWorkingView,01-Jun-19,0.03333333333333333,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-Jun-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,09-Jun-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,16-Jun-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,23-Jun-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,30-Jun-19,0.03333333333333333,0,0
FI-Default,CurrentWorkingView,01-Jul-19,0.1935483870967742,0.2,1
FI-Default,CurrentWorkingView,07-Jul-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,14-Jul-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,21-Jul-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,28-Jul-19,0.12903225806451613,0,0
FI-Default,CurrentWorkingView,01-Aug-19,0.0967741935483871,0.2,1
FI-Default,CurrentWorkingView,04-Aug-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,11-Aug-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,18-Aug-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,25-Aug-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,01-Sep-19,0.23333333333333334,0.2,1
FI-Default,CurrentWorkingView,08-Sep-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,15-Sep-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,22-Sep-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,29-Sep-19,0.06666666666666667,0,0
FI-Default,CurrentWorkingView,01-Oct-19,0.16129032258064516,0.2,1
FI-Default,CurrentWorkingView,06-Oct-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,13-Oct-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,20-Oct-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,27-Oct-19,0.16129032258064516,0,0
FI-Default,CurrentWorkingView,01-Nov-19,0.06666666666666667,0.2,1
FI-Default,CurrentWorkingView,03-Nov-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,10-Nov-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,17-Nov-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,24-Nov-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,01-Dec-19,0.22580645161290322,0.2,1
FI-Default,CurrentWorkingView,08-Dec-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,15-Dec-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,22-Dec-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,29-Dec-19,0.0967741935483871,0,0
FI-Default,CurrentWorkingView,01-Jan-20,0.12903225806451613,0.2,1
FI-Default,CurrentWorkingView,05-Jan-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,12-Jan-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,19-Jan-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,26-Jan-20,0.1935483870967742,0,0
FI-Default,CurrentWorkingView,01-Feb-20,0.034482758620689655,0.2,1
FI-Default,CurrentWorkingView,02-Feb-20,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,09-Feb-20,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,16-Feb-20,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,23-Feb-20,0.2413793103448276,0,0
FI-Default,CurrentWorkingView,01-Mar-20,0.22580645161290322,0.2,1
FI-Default,CurrentWorkingView,08-Mar-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,15-Mar-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,22-Mar-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,29-Mar-20,0.0967741935483871,0,0
FI-Default,CurrentWorkingView,01-Apr-20,0.13333333333333333,0.2,1
FI-Default,CurrentWorkingView,05-Apr-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,12-Apr-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,19-Apr-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,26-Apr-20,0.16666666666666666,0,0
FI-Default,CurrentWorkingView,01-May-20,0.06451612903225806,0.16666666666666666,1
FI-Default,CurrentWorkingView,03-May-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,10-May-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,17-May-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,24-May-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,31-May-20,0.03225806451612903,0,0
FI-Default,CurrentWorkingView,01-Jun-20,0.2,0.2,1
FI-Default,CurrentWorkingView,07-Jun-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,14-Jun-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,21-Jun-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,28-Jun-20,0.1,0,0
FI-Default,CurrentWorkingView,01-Jul-20,0.12903225806451613,0.2,1
FI-Default,CurrentWorkingView,05-Jul-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,12-Jul-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,19-Jul-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,26-Jul-20,0.1935483870967742,0,0
FI-Default,CurrentWorkingView,01-Aug-20,0.03225806451612903,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-Aug-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,09-Aug-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,16-Aug-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,23-Aug-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,30-Aug-20,0.06451612903225806,0,0
FI-Default,CurrentWorkingView,01-Sep-20,0.16666666666666666,0.2,1
FI-Default,CurrentWorkingView,06-Sep-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,13-Sep-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,20-Sep-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,27-Sep-20,0.13333333333333333,0,0
FI-Default,CurrentWorkingView,01-Oct-20,0.0967741935483871,0.2,1
FI-Default,CurrentWorkingView,04-Oct-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,11-Oct-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,18-Oct-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,25-Oct-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,01-Nov-20,0.23333333333333334,0.2,1
FI-Default,CurrentWorkingView,08-Nov-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,15-Nov-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,22-Nov-20,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,29-Nov-20,0.06666666666666667,0,0
FI-Default,CurrentWorkingView,01-Dec-20,0.16129032258064516,0.2,1
FI-Default,CurrentWorkingView,06-Dec-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,13-Dec-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,20-Dec-20,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,27-Dec-20,0.16129032258064516,0,0
FI-Default,CurrentWorkingView,01-Jan-21,0.06451612903225806,0.16666666666666666,1
FI-Default,CurrentWorkingView,03-Jan-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,10-Jan-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,17-Jan-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,24-Jan-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,31-Jan-21,0.03225806451612903,0,0
FI-Default,CurrentWorkingView,01-Feb-21,0.21428571428571427,0.2,1
FI-Default,CurrentWorkingView,07-Feb-21,0.25,0,0
FI-Default,CurrentWorkingView,14-Feb-21,0.25,0,0
FI-Default,CurrentWorkingView,21-Feb-21,0.25,0,0
FI-Default,CurrentWorkingView,28-Feb-21,0.03571428571428571,0,0
FI-Default,CurrentWorkingView,01-Mar-21,0.1935483870967742,0.2,1
FI-Default,CurrentWorkingView,07-Mar-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,14-Mar-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,21-Mar-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,28-Mar-21,0.12903225806451613,0,0
FI-Default,CurrentWorkingView,01-Apr-21,0.1,0.2,1
FI-Default,CurrentWorkingView,04-Apr-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,11-Apr-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,18-Apr-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,25-Apr-21,0.2,0,0
FI-Default,CurrentWorkingView,01-May-21,0.03225806451612903,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-May-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,09-May-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,16-May-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,23-May-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,30-May-21,0.06451612903225806,0,0
FI-Default,CurrentWorkingView,01-Jun-21,0.16666666666666666,0.2,1
FI-Default,CurrentWorkingView,06-Jun-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,13-Jun-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,20-Jun-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,27-Jun-21,0.13333333333333333,0,0
FI-Default,CurrentWorkingView,01-Jul-21,0.0967741935483871,0.2,1
FI-Default,CurrentWorkingView,04-Jul-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,11-Jul-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,18-Jul-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,25-Jul-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,01-Aug-21,0.22580645161290322,0.2,1
FI-Default,CurrentWorkingView,08-Aug-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,15-Aug-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,22-Aug-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,29-Aug-21,0.0967741935483871,0,0
FI-Default,CurrentWorkingView,01-Sep-21,0.13333333333333333,0.2,1
FI-Default,CurrentWorkingView,05-Sep-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,12-Sep-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,19-Sep-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,26-Sep-21,0.16666666666666666,0,0
FI-Default,CurrentWorkingView,01-Oct-21,0.06451612903225806,0.16666666666666666,1
FI-Default,CurrentWorkingView,03-Oct-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,10-Oct-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,17-Oct-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,24-Oct-21,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,31-Oct-21,0.03225806451612903,0,0
FI-Default,CurrentWorkingView,01-Nov-21,0.2,0.2,1
FI-Default,CurrentWorkingView,07-Nov-21,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,14-Nov-21,0.23333333333333334,0,0
